Tarefa;Data;Hora
Ir à reunião;16-09-2025;12:15
Enviar relatório;17-09-2025;9:45
Fazer compras;18-09-2025;15:30
Estudar Python;19-09-2025;10:15
Academia;20-09-2025;18:30
Passear com o cachorro;21-09-2025;18:30
Preparar almoço;22-09-2025;14:45
Ligar para cliente;23-09-2025;11:45
Revisar projeto;24-09-2025;8:00
Assistir aula online;25-09-2025;16:15
Pagar contas;26-09-2025;18:30
Organizar documentos;27-09-2025;12:45
Responder e-mails;28-09-2025;16:45
Limpar a casa;29-09-2025;12:15
Meditar;30-09-2025;13:00
Planejar semana;01-10-2025;12:00
Levar o carro para revisão;02-10-2025;11:15
Ir ao médico;03-10-2025;13:00
Comprar presente;04-10-2025;13:15
Jantar em família;05-10-2025;10:15
Estudar Power BI;06-10-2025;8:45
Reunião de equipe;07-10-2025;20:45
Correr no parque;08-10-2025;20:00
Atualizar LinkedIn;09-10-2025;18:30
Fazer backup;10-10-2025;12:00
Organizar planilha;11-10-2025;19:00
Ler livro;12-10-2025;12:15
Preparar apresentação;13-10-2025;9:45
Fazer caminhada;14-10-2025;12:00
Visitar um amigo;15-10-2025;11:30
